leg,journee,date,match,win_type,score,available,winner
Second Leg,38,6 février 2026,MARSEILLE - CHAMONIX,,,yes,
Second Leg,38,6 février 2026,CERGY - ROUEN,,,yes,
Second Leg,39,19 février 2026,ROUEN - GRENOBLE,,,yes,
Second Leg,39,19 février 2026,BRIANCON - CERGY,,,yes,
Second Leg,39,19 février 2026,CHAMONIX - BORDEAUX,,,yes,
Second Leg,39,19 février 2026,MARSEILLE - NICE,,,yes,
Second Leg,39,19 février 2026,ANGERS - GAP,,,yes,
Second Leg,39,19 février 2026,ANGLET - AMIENS,,,yes,
Second Leg,25,21 février 2026,BRIANCON - ROUEN,,,yes,
First Leg,11,21 février 2026,CHAMONIX - CERGY,,,yes,
First Leg,16,22 février 2026,ANGLET - ANGERS,,,yes,
Second Leg,40,24 février 2026,NICE - CHAMONIX,,,yes,
Second Leg,40,24 février 2026,GRENOBLE - BRIANCON,,,yes,
Second Leg,40,24 février 2026,GAP - ANGLET,,,yes,
Second Leg,40,24 février 2026,AMIENS - ROUEN,,,yes,
Second Leg,40,24 février 2026,BORDEAUX - ANGERS,,,yes,
Second Leg,40,24 février 2026,CERGY - MARSEILLE,,,yes,
Second Leg,41,27 février 2026,ROUEN - GAP,,,yes,
Second Leg,41,27 février 2026,BRIANCON - AMIENS,,,yes,
Second Leg,41,27 février 2026,NICE - CERGY,,,yes,
Second Leg,41,27 février 2026,MARSEILLE - GRENOBLE,,,yes,
Second Leg,41,27 février 2026,CHAMONIX - ANGERS,,,yes,
Second Leg,41,27 février 2026,ANGLET - BORDEAUX,,,yes,
Second Leg,42,1 mars 2026,AMIENS - MARSEILLE,,,yes,
Second Leg,42,1 mars 2026,GAP - BRIANCON,,,yes,
Second Leg,42,1 mars 2026,GRENOBLE - NICE,,,yes,
Second Leg,42,1 mars 2026,CHAMONIX - CERGY,,,yes,
Second Leg,42,1 mars 2026,BORDEAUX - ROUEN,,,yes,
Second Leg,42,1 mars 2026,ANGERS - ANGLET,,,yes,
Second Leg,43,4 mars 2026,ROUEN - ANGERS,,,yes,
Second Leg,43,4 mars 2026,NICE - AMIENS,,,yes,
Second Leg,43,4 mars 2026,BRIANCON - BORDEAUX,,,yes,
Second Leg,43,4 mars 2026,MARSEILLE - GAP,,,yes,
Second Leg,43,4 mars 2026,ANGLET - CHAMONIX,,,yes,
Second Leg,43,4 mars 2026,CERGY - GRENOBLE,,,yes,
Second Leg,44,6 mars 2026,GAP - NICE,,,yes,
Second Leg,44,6 mars 2026,CHAMONIX - GRENOBLE,,,yes,
Second Leg,44,6 mars 2026,AMIENS - CERGY,,,yes,
Second Leg,44,6 mars 2026,BORDEAUX - MARSEILLE,,,yes,
Second Leg,44,6 mars 2026,ANGLET - ROUEN,,,yes,
Second Leg,44,6 mars 2026,ANGERS - BRIANCON,,,yes,
